,page_category,page_comments_avg,page_comments_max,page_comments_max_post_id,page_comments_min,page_comments_sd,page_cover,page_id,page_name,page_post_1_month_ago,page_post_2_month_ago,page_post_3_month_ago,page_post_count,page_profile,page_reactions_avg,page_reactions_max,page_reactions_max_post_id,page_reactions_min,page_reactions_sd,page_shares_avg,page_shares_max,page_shares_max_post_id,page_shares_min,page_shares_sd,page_title
0,Community,3.6842105263157894,19,218892821565212_1413971108724038,0,5.271017523305548,https://scontent.xx.fbcdn.net/v/t1.0-9/22221968_1417237498397399_5387059780063396704_n.jpg?_nc_eui2=v1%3AAeHsZxVPgt-30QP2UuR-pJdPMcdzi55zVljRSMFPwkfGUA47iO_foacAVqjDTlCzIwo&oh=8d9e5183702a2c4d184c7e6454fb9df9&oe=5AA6FAB2,218892821565212,bangkokeatbig,2,7,10,92,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/22221620_1417237325064083_2409612905882721479_n.jpg?_nc_eui2=v1%3AAeGcy7KwOaYUueMSVsxmtqo__nBgrqggwzFqeFlb5SgGVGCMVcKh8xMw4ZqYRnkYSgU&oh=7849db433df5be7ed17ad2466b39a042&oe=5AA797C0,67.26315789473684,670,218892821565212_1379757645478718,14,146.97045890067054,9.105263157894736,44,218892821565212_1413971108724038,1,11.357301796358467,Eat Big เรื่องกินเรื่องใหญ่
1,Community,13.444444444444445,121,427521930787483_682315131974827,0,28.58058210048589,https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/22467537_708040952735578_9128939429990221797_o.jpg?_nc_eui2=v1%3AAeF1oOa1SL2PcP__nDwc-KfRihfoh9KkN1x7MkOJMZd7Ds1IxwvlsmWpQu6ed_6g5Gg&oh=25cf96c911d556a022c494523eee3d0c&oe=5A70C1F8,427521930787483,bornmadeak,6,3,9,78,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/13254190_501912693348406_7677525844048105486_n.jpg?_nc_eui2=v1%3AAeEFFg91jQas1ju9L1K3IyR2EqIB58nhSD79HYSP98RzMUH6mihLOXPaf27E3U71dtQ&oh=1594ae356674de5cd481afd4c96e085d&oe=5AAC60B8,427.72222222222223,2403,427521930787483_682390748633932,11,573.0131715512671,19.38888888888889,87,427521930787483_682315131974827,1,24.50483479039545,เกิดมาแดก
2,Community,7.863636363636363,29,551268918372423_862095937289718,0,8.756634452485777,https://scontent.xx.fbcdn.net/v/t1.0-0/p180x540/17265167_766866020146044_9088539453963204204_n.jpg?_nc_eui2=v1%3AAeGy73LacGTUmw6ZcC2MCNf8VSdydpH4dE-3UEH_DLCK4og2BxYtcKmGOMD1ZWzcz4k&oh=e05736214a74e440ad47aab45b5a2ea4&oe=5AAFAD1C,551268918372423,DakNaeNon,14,15,13,188,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/22046803_870133656485946_3955659377384477673_n.png?_nc_eui2=v1%3AAeF2Vt-glRhY-vEEMhzlRKAjKkWPXkM1kCZn9nNfw6RYR2EoQ4ZTC7nmGowamJA2EuY&oh=cf3aa980dda1fb6bfa66e90f785333c6&oe=5A79421A,101.9090909090909,373,551268918372423_875510175948294,4,95.39338824092876,11.931818181818182,101,551268918372423_869458083220170,1,23.19221774775315,แดกแน่นอน
3,Personal Blog,1.8461538461538463,8,960782227349574_1478740928887032,0,2.703274367816243,https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/12465906_961176410643489_6932654020936153127_o.jpg?_nc_eui2=v1%3AAeGlThHhmVgSSm7W83xMr8EV1klShoT4e4NxLeTdssqy2xOdt5mBJ5W0XjYoulsvADI&oh=009401d0367aa064e1413639a6c81e86&oe=5AAA4EDF,960782227349574,dinewithpigs,2,6,4,46,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/13876404_1091016180992844_3810584577885108107_n.jpg?_nc_eui2=v1%3AAeFN9LwSVLyA6WoJVEVG8h_JsGZTIUmFrNMyJI18yu5CtoOGAIluw5zOp3vBCxHLbSo&oh=49ab13f9775f411e264bc27167e9017b&oe=5AA83EE3,13.615384615384615,68,960782227349574_1505587889535669,2,17.270101628433174,3.6923076923076925,17,960782227349574_1505587889535669,1,4.905517563326276,Dinewithpigs
4,Blogger,84.09558823529412,1914,1436860363229411_1909324409316335,0,235.5836842327763,https://scontent.xx.fbcdn.net/v/t1.0-0/p480x480/22688731_1933139886934787_3517025028839691625_n.jpg?_nc_eui2=v1%3AAeGuyZgdPL6CM1W4aevbYyMm3jIRBR0dEli00dWO-v-OY5_mISRfplalN-5obBZ-7t8&oh=16304eff98aa4e23c41cc20804a9920e&oe=5A6E6E44,1436860363229411,paidonnnn,37,35,62,406,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/18301397_1862293514019425_2517729966876367630_n.png?_nc_eui2=v1%3AAeGsA2-W13eXGqCI-_AMqc8UJ08sl35SdEZCsKb188011xdqFiPdntZKZ4qvGvB1-e4&oh=55d78d8c6a448aeb84f4cc5f89ba6f17&oe=5AAAF3CA,444.5735294117647,8011,1436860363229411_1909324409316335,19,856.0190516428936,132.03676470588235,3739,1436860363229411_1909324409316335,1,477.2030146141815,Paidonnnn ไปโดนนนน
5,Personal Blog,46.675,598,464171817085120_837407669761531,0,134.68527178536425,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/12994496_578338395668461_3722862146135029793_n.jpg?_nc_eui2=v1%3AAeEXWrS6gTrtrOgViz6gD8yx6m25TC8gp9Pno5010s52LQcGaYewIbMrzPx6DHxF4Ww&oh=dc7e4cb1ae5229575fbe4b00ae561235&oe=5A7DBFAF,464171817085120,snapbeforeeatofficial,9,20,10,151,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/22046790_845964412239190_441168928828114402_n.jpg?_nc_eui2=v1%3AAeE8nmnRnFM79yjK3dfJfNdwxaaQ06-mDud1txaSgxp8AuTefmpneiOKxgjOTpULedI&oh=41cefa8ce2eefaff5f881328d76120c6&oe=5A644D97,94.775,741,464171817085120_837407669761531,15,157.34373403801516,39.25,498,464171817085120_837407669761531,1,106.60272522614525,SNAPBEFOREEAT
6,Blogger,266.40909090909093,2624,369540316568629_733718426817481,1,465.9597201895898,https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/21167056_734112860111371_314583598683347342_o.jpg?_nc_eui2=v1%3AAeGWO6zFwkAUBdTeGX2iz-EO-L-NwFi3UZXEybB16_gT1_eYzBXJdB3pLh3JM3XZufA&oh=4b95a6526df388a4a0a3881b5b257dd5&oe=5AAF6C81,369540316568629,ipedinth,8,28,30,177,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/14656393_577599999095992_3194231928394441512_n.jpg?_nc_eui2=v1%3AAeEUuC05_D6kHB1AXPU7d3bjcRbpXh5uV1Qnz5wgZBGMYD2xQAC1dpkhdr_Gka3WAqU&oh=a4cd977d895d427c50dd0f7170893637&oe=5A7B4AB8,1289.3333333333333,5895,369540316568629_733718426817481,36,1342.3691150446066,484.93939393939394,8640,369540316568629_733718426817481,1,1239.2449671384945,ไอเป็ด สายแดก
7,TV Show,22.735849056603772,375,778290312277419_1222506667855779,0,57.957594227091256,https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/22382155_1278483768924735_2131851017624302337_o.jpg?_nc_eui2=v1%3AAeH4NI0ii9R1daHzWO1lXSb5qtcnAfShtvCnVrxqfIzGkuNcrqeex3hmmeUKGXymeaY&oh=0257a750740b36b16ea9a3c53ec3d17f&oe=5A65C086,778290312277419,AroiTongShare,19,18,15,136,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/22406496_1278510082255437_1060652202178105525_n.jpg?_nc_eui2=v1%3AAeF87z6gOu4b4j5FgRJp_JuN8p95NsDgBBMVGDUqHYtL5mJ5lPOCGXxJhvXXp3oQsHQ&oh=4e7d9413ff20f796b73d27788b572448&oe=5A74ED23,276.6981132075472,2577,778290312277419_1222506667855779,19,419.93106508026824,57.264150943396224,520,778290312277419_1267513766688402,1,112.59152703183926,อร่อยต้องแชร์
8,Community,26.25,78,220711858140080_640305446180717,6,34.68308905888671,,220711858140080,Dakmaipenyaadak,1,3,0,15,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/1148969_220713394806593_950046116428347110_n.jpg?_nc_eui2=v1%3AAeFZLnrhFoB4ZrEud3jwtoXw8ZWee3n1G_Nqp_976GekDthMM-vhWl4MgHputWEoAAE&oh=f1cbf237364896260e72a0061b9cd36c&oe=5A721AAD,373.0,1047,220711858140080_640305446180717,103,452.10691950761674,127.75,461,220711858140080_640305446180717,3,222.61083381842255,แดกไม่เป็น อย่าแดก
9,Community,179.9268292682927,3959,1886953594900349_1920321314896910,0,643.316072791746,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/22089009_1935160053413036_5719126741783624937_n.jpg?_nc_eui2=v1%3AAeEPou6fOlH5nV63HXtRWhfxSyDcu5pt1vBjdW3NrP81lJntrwvDVeioKgBNHJf1-Ds&oh=8436d44be0ec7e37f44a4a6b4a667c8c&oe=5A6838B8,1886953594900349,semagudak,15,12,14,75,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/22140823_1935160543412987_959755801167565890_n.jpg?_nc_eui2=v1%3AAeHIbOxJWIHXYlTjqQsycJB6Lziz3Aq2JJRfFeO6j6-rlvurF4j0Ax8PzwTSGcLDA_E&oh=e62bd984453cafac393ab95b1d22168d&oe=5A7D0D3E,300.7560975609756,3621,1886953594900349_1920321314896910,18,616.042278601388,212.4390243902439,3688,1886953594900349_1920321314896910,1,649.6801539519461,เซมากูแดก
10,Food & Beverage Company,27.466666666666665,566,400267803487359_804231423090993,0,87.55818844423611,https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/10446193_414126492101490_3390924981030963100_o.jpg?_nc_eui2=v1%3AAeGSQCNPgB7vOlk1WqA_6KAM7ewZac4QtVmk4fK7WcmXqOIjNAjalambWagp4wJHhTQ&oh=a207bbddfa0d7092623cf5571b02e339&oe=5A63E438,400267803487359,daneating,15,12,17,141,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/10422526_429934583854014_3434747206688083878_n.png?_nc_eui2=v1%3AAeG1qf0cBqHmtxpKiwvpM651chZKP_YoiDPX4F6VxcCxw7zriAwyuli-vifp5jmjVLE&oh=3e451201e446e2585d0148b7a770af3b&oe=5A6AD665,235.53333333333333,1419,400267803487359_804231423090993,10,332.46282088788104,39.77777777777778,1089,400267803487359_804231423090993,1,164.0739701377634,แดนแดก
11,Community,48.55555555555556,114,208067196022874_841333099362944,5,37.071252713899185,https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/1097636_208078059355121_1879311073_o.png?_nc_eui2=v1%3AAeHXozuITj1haTFLuRY4DaUrfIn6_aKPVO1ZPJfXX4Vv-F-Y2M7-GmMLtyRkjygvcu4&oh=a627ecf22fb6fbbed2ea55184d668cb5&oe=5A723EAC,208067196022874,badtaste.donteat,0,2,7,18,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/61015_261599380669655_293772887_n.jpg?_nc_eui2=v1%3AAeED9RZUKUG1NPm8ZPKmMw3qVtcV8oDJXnZ3C9oymUyT7a_4NwbHK28p0EpUK3Afv1Q&oh=230e0de1d4e594ef3df85ef9ac6d325c&oe=5A657A5D,357.77777777777777,1155,208067196022874_841333099362944,40,403.3434571732191,20.22222222222222,88,208067196022874_856182577877996,1,34.441173679833334,ไม่อร่อย อย่าแดก
12,Public Figure,16.333333333333332,146,1723496894570900_1949264971994090,0,31.411658786067115,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/20108531_1925928644327723_6419627887402552645_n.jpg?_nc_eui2=v1%3AAeGee66cE0ze731H9AOK7GtbcCpWTbNkNBkkX9r0TVbmfGyrZT2npOiYrKHfF1vH3no&oh=790169e70f95391919b397619e66abd1&oe=5AA66191,1723496894570900,raosaidak,4,13,9,89,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/13100942_1724228261164430_987833442456065053_n.png?_nc_eui2=v1%3AAeGJ-t9HgN9jBRQhAToKPlXn4LVR4IPN6bBYXhdnjbtfOgKR38VG1_-c0cU_pt_jiOM&oh=bb904ed80a56be0f9998c46a188e9236&oe=5A6D3EE4,171.62962962962962,844,1723496894570900_1932144163706171,11,233.014385186202,36.74074074074074,237,1723496894570900_1949264971994090,1,60.23006698203953,เราสายแดก
13,Personal Blog,29.488372093023255,469,161818843843444_1817969068228405,0,63.03495653646504,https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/18209274_1682223751802938_7051168232190215025_o.jpg?_nc_eui2=v1%3AAeGoGUcVSKLTezoFKvytp4Ew0r9dsWR-hoAMOTydpulEZ2HwpR6O1NNZjyMwkrV6DQQ&oh=a4c5e901b0af21214e17d0060370daa4&oe=5A7CE3E3,161818843843444,onnbaby,11,42,31,472,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/18193994_1682240508467929_1637962817233935005_n.jpg?_nc_eui2=v1%3AAeFUMtMFxqitHlcVq0w4LUKuNTaCG2wde-hgOuw4pmaA3hEvj2Fy8XicPQSNBlWJVnE&oh=cb3e34d12ad67894aff75ff8b95211e1&oe=5AAAFC0A,177.80232558139534,1353,161818843843444_1857831177575527,24,182.8301571061766,14.116279069767442,136,161818843843444_1839039229454722,1,26.857102732205924,OnnBaby - สวยสายแดก
14,Personal Blog,298.2244897959184,2244,387766624666267_1339461502830103,4,428.6367569256691,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/270737_387773574665572_2010869214_n.png?_nc_eui2=v1%3AAeEyX3APGShVQ9VZP_wbkN27ffWCFcrBLYdL27DSrJXvM3fDJ35P7XHG-kzYYZD--Pk&oh=1326129f68fb59c43a4632285f835f3c&oe=5AA982EB,387766624666267,gin100,9,14,25,99,https://scontent.xx.fbcdn.net/v/t1.0-1/c2.0.50.50/p50x50/248294_391219754320954_393135062_n.jpg?_nc_eui2=v1%3AAeE2qul95KnnaCLcNaiTzeveCFIWIICCLT84hmLWnzHdLc6LuUB08zojqjfZE1C5-ok&oh=ecd67a72b7a91c09f31119b1b33787b4&oe=5AADE566,2688.877551020408,23403,387766624666267_1350882471688006,123,4891.032064029079,294.85714285714283,2301,387766624666267_1339461502830103,2,426.42496409098754,กินไม่เกิน 100
15,Blogger,629.7042253521126,7428,1663369887236712_1949604385279926,0,1564.8017254077386,https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/22096129_1966173263623038_2524099836690116668_o.jpg?_nc_eui2=v1%3AAeEU5IpSEb7WQClWwVuCrrTpnzkv9qCLEoDJ2zWOyCSM7tOvoNopiDzzjAC6Mn7CykE&oh=f992ca3874a2f6ab598ec91a9ab361d2&oe=5AAC2760,1663369887236712,kintampro,25,21,24,146,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/22050002_1965909196982778_8308231633459906928_n.jpg?_nc_eui2=v1%3AAeG-fomH_AY8mb0nLD9BS-Qk3C1WW_oiYcsa94G0uFYZkwwrnIdmZpc1VtUPQON6H_g&oh=250805c573887d538f6f69ca758f0dc6&oe=5A76D97B,1596.4084507042253,23348,1663369887236712_1943692652537766,31,3599.1359660636995,1100.3521126760563,23926,1663369887236712_1949604385279926,1,3733.2929703971668,กินตามโปร by ซูชิลดเว้ย
16,Website,8.0,32,266497693552828_732616390274287,0,10.747092630102339,https://scontent.xx.fbcdn.net/v/t1.0-0/p180x540/13599769_525505804318681_4992981188227299914_n.jpg?_nc_eui2=v1%3AAeFpdMxB51uzJUKPWgZh4ayIFlbStP5ZPTXbECPdP-VIqgKX7mPL4lFwTZ8mCQhxLhM&oh=2b155901441720d9e514e1a7408c63e1&oe=5A732AEB,266497693552828,kinlagthailand,2,7,0,131,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/22730447_746946255507967_1508541955692436066_n.jpg?_nc_eui2=v1%3AAeEQx1a78CBETAdMYTXmd3Xw3ek5_n1mGfJyEVEHB6ORj7Y8vPcklunUHFicq710BkQ&oh=7f36faca7cea23e043bb4ab1199c8d4f&oe=5A796A6A,1288.7777777777778,11191,266497693552828_732616390274287,9,3713.517496181275,14.11111111111111,100,266497693552828_732616390274287,1,32.32817828321155,กินแหลก เรื่องกินต้องยกให้เรา
17,Community,9.851851851851851,105,320764744931291_561890404152056,0,26.671367107102395,https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/22096021_560103130997450_127672723882308221_o.jpg?_nc_eui2=v1%3AAeGS10JElS5IM-sGwHy4j1_6LkM8oGRhsoD2Hs_XwEW8VlwWwJN5tNTPSuTd2JkXCR0&oh=b394829e655b2859edc4d002fb3360da&oe=5A683997,320764744931291,Enjoyeatingbyme,6,12,9,81,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/22089597_560103650997398_8783269917280682877_n.jpg?_nc_eui2=v1%3AAeGUQ29YiHcLFW9q0Gg2_KT4lT6z3Q6LfErxhWKoVFSAsiASl90vzZssZK_N9V79Fgo&oh=322e62ee41999f4288097b080164bd5f&oe=5A799552,80.70370370370371,344,320764744931291_534111716929925,13,85.33905896923744,18.40740740740741,187,320764744931291_534111716929925,1,40.408737877668194,Enjoy Eating By Me รีวิวอาหาร ของกินอร่อยๆ
18,Community,247.3125,2128,600475487009484_606042963119403,0,573.1335759082112,https://scontent.xx.fbcdn.net/v/t1.0-9/22365467_609007869489579_3774435747450436811_n.jpg?_nc_eui2=v1%3AAeGB60pLft04TAQxkBqFy401Iqs_zfoooe7BO84eEVb7k9hIZ7raorPw0FQGV3d_qWs&oh=8c8bab875095f1d9c7ea973868285f4e&oe=5A7BFEFC,600475487009484,aroiyummy,12,4,0,35,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/22366669_609007982822901_6801881397660289367_n.jpg?_nc_eui2=v1%3AAeGvllju5CpUwvLvbsKMwZ3IhonnfiC7f_TWenTq4eK2KrMeKi7p0FB0dg6S787c54M&oh=7f2adcd4437c9eab98f66d287adbe640&oe=5A68762A,833.125,7242,600475487009484_606042963119403,10,1768.6016274635356,2204.5,16118,600475487009484_606042963119403,1,4283.712019576791,ล้านอร่อย
19,Just For Fun,89.41666666666667,1326,491309534239885_1430366870334142,10,264.2962627294484,https://scontent.xx.fbcdn.net/v/t1.0-9/q86/s720x720/13567253_1009803139057186_4855926835280181793_n.jpg?_nc_eui2=v1%3AAeGopuwecSLC_1giRIsbgYBEjFTdd5DZwvgZTezacjuC9dUI3J5VvDYMSDTyT6VbzHU&oh=22cc84a01a4b3a65ead0c41b1d3c5226&oe=5A6DDD9A,491309534239885,Unlucky2BDelicious,5,11,7,73,https://scontent.xx.fbcdn.net/v/t1.0-1/c12.12.155.155/s50x50/295629_491685404202298_1456011062_n.jpg?_nc_eui2=v1%3AAeEQrLxJJbO2YqcfClqGvPeNITGHETEhZvL22sTY6-UaykE20J4GgCIpAjL-xwu4pg4&oh=e4af09f0fa657644dd92de1873f9f3ed&oe=5A70E3A9,1246.7083333333333,10263,491309534239885_1430366870334142,255,2000.9305548031705,295.9583333333333,4374,491309534239885_1430366870334142,1,899.2806051973197,ซวยชิบหายเสือกเกิดมาอร่อย
20,Community,3.7142857142857144,11,443407605824138_471713062993592,1,3.6384193323605842,https://scontent.xx.fbcdn.net/v/t31.0-0/p480x480/10257565_469952599836305_995918221752977363_o.jpg?_nc_eui2=v1%3AAeHt-yBf68DFJ2cj9B7FFwdxkx3KmxIKsuvvljk1Wr8dGKKsMNca2HuGLPArt6OBf1U&oh=1b42b2830454b5315255ad79b69cdce9&oe=5AADE984,443407605824138,friendguha,0,0,0,29,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/11702854_486782748153290_7892804469243966138_n.jpg?_nc_eui2=v1%3AAeGY0s5McchfxTXKlFA8jnwNfmWgPMNWCaRgOEZe4nJrxYDZzvk0JTGE4gHUSV1Z2dY&oh=535d32bf75ee929f815852096e62292b&oe=5A6610CA,47.42857142857143,78,443407605824138_473958886102343,33,14.797039600960083,1.8571428571428572,5,443407605824138_482228998608665,1,1.5735915849388862,หนุ่มสาวเอนโก้
